Attribute,Type,Operators,Description
em_3d_crystal_entity.angle_beta,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell angle beta in degrees.
em_3d_crystal_entity.angle_gamma,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell angle gamma in degrees.
em_3d_crystal_entity.length_a,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell length a in angstroms.
em_3d_crystal_entity.length_b,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell length b in angstroms.
em_3d_crystal_entity.length_c,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell length c in angstroms.
em_3d_crystal_entity.space_group_name,string,in exact_match exists,Space group name.
em_3d_crystal_entity.space_group_num,integer,equals greater less greater_or_equal less_or_equal range exists,Space group number.
em_3d_fitting.details,string,contains_phrase contains_words exists,"Any additional details regarding fitting of atomic coordinates into  the 3DEM volume, including data and considerations from other  methods used in computation of the model."
em_3d_fitting.method,string,contains_phrase contains_words exists,The method used to fit atomic coordinates  into the 3dem reconstructed map.
em_3d_fitting.overall_b_value,number,equals greater less greater_or_equal less_or_equal range exists,The overall B (temperature factor) value for the 3d-em volume.
em_3d_fitting.ref_protocol,string,in exact_match exists,"The refinement protocol used. Allowed Values: AB INITIO MODEL, BACKBONE TRACE, FLEXIBLE FIT, OTHER, RIGID BODY FIT"
em_3d_fitting.ref_space,string,in exact_match exists,"A flag to indicate whether fitting was carried out in real  or reciprocal refinement space. Allowed Values: REAL, RECIPROCAL"
em_3d_fitting.target_criteria,string,contains_phrase contains_words exists,The measure used to assess quality of fit of the atomic coordinates in the  3DEM map volume.
em_3d_fitting_list.details,string,contains_phrase contains_words exists,Details about the model used in fitting.
em_3d_reconstruction.actual_pixel_size,number,equals greater less greater_or_equal less_or_equal range exists,The actual pixel size of the projection set of images in Angstroms.
em_3d_reconstruction.algorithm,string,contains_phrase contains_words exists,The reconstruction algorithm/technique used to generate the map.
em_3d_reconstruction.method,string,contains_phrase contains_words exists,The algorithm method used for the 3d-reconstruction.
em_3d_reconstruction.nominal_pixel_size,number,equals greater less greater_or_equal less_or_equal range exists,The nominal pixel size of the projection set of images in Angstroms.
em_3d_reconstruction.num_class_averages,integer,equals greater less greater_or_equal less_or_equal range exists,The number of classes used in the final 3d reconstruction
em_3d_reconstruction.num_particles,integer,equals greater less greater_or_equal less_or_equal range exists,The number of 2D projections or 3D subtomograms used in the 3d reconstruction
em_3d_reconstruction.refinement_type,string,in exact_match exists,"Indicates details on how the half-map used for resolution determination (usually by FSC) have been generated. Allowed Values: HALF-MAPS REFINED AGAINST SAME DATA, HALF-MAPS REFINED INDEPENDENTLY, HALF-MAPS REFINED INDEPENDENTLY WITH FREQUENCY RANGE OMITTED, HALF-MAPS REFINED WITH FREQUENCY RANGE OMITTED, OTHER"
em_3d_reconstruction.resolution,number,equals greater less greater_or_equal less_or_equal range exists,The final resolution (in angstroms) of the 3D reconstruction.
em_3d_reconstruction.resolution_method,string,contains_phrase contains_words exists,The method used to determine the final resolution  of the 3d reconstruction.  The Fourier Shell Correlation criterion as a measure of  resolution is based on the concept of splitting the (2D)  data set into two halves; averaging each and comparing them  using the Fourier Ring Correlation (FRC) technique.
em_3d_reconstruction.symmetry_type,string,in exact_match exists,"The type of symmetry applied to the reconstruction Allowed Values: 2D CRYSTAL, 3D CRYSTAL, HELICAL, POINT"
em_ctf_correction.details,string,contains_phrase contains_words exists,Any additional details about CTF correction
em_ctf_correction.type,string,contains_phrase contains_words exists,Type of CTF correction applied
em_diffraction.camera_length,number,equals greater less greater_or_equal less_or_equal range exists,The camera length (in millimeters). The camera length is the  product of the objective focal length and the combined magnification  of the intermediate and projector lenses when the microscope is  operated in the diffraction mode.
em_diffraction_shell.fourier_space_coverage,number,equals greater less greater_or_equal less_or_equal range exists,"Completeness of the structure factor data within this resolution shell, in percent"
em_diffraction_shell.high_resolution,number,equals greater less greater_or_equal less_or_equal range exists,High resolution limit for this shell (angstroms)
em_diffraction_shell.low_resolution,number,equals greater less greater_or_equal less_or_equal range exists,Low resolution limit for this shell (angstroms)
em_diffraction_shell.multiplicity,number,equals greater less greater_or_equal less_or_equal range exists,Multiplicity (average number of measurements) for the structure factors in this resolution shell
em_diffraction_shell.num_structure_factors,integer,equals greater less greater_or_equal less_or_equal range exists,Number of measured structure factors in this resolution shell
em_diffraction_shell.phase_residual,number,equals greater less greater_or_equal less_or_equal range exists,"Phase residual for this resolution shell, in degrees"
em_diffraction_stats.fourier_space_coverage,number,equals greater less greater_or_equal less_or_equal range exists,Completeness of the structure factor data within the defined space group  at the reported resolution (percent).
em_diffraction_stats.high_resolution,number,equals greater less greater_or_equal less_or_equal range exists,"High resolution limit of the structure factor data, in angstroms"
em_diffraction_stats.num_intensities_measured,integer,equals greater less greater_or_equal less_or_equal range exists,Total number of diffraction intensities measured (before averaging)
em_diffraction_stats.num_structure_factors,integer,equals greater less greater_or_equal less_or_equal range exists,Number of structure factors obtained (merged amplitudes + phases)
em_diffraction_stats.overall_phase_error,number,equals greater less greater_or_equal less_or_equal range exists,Overall phase error in degrees
em_diffraction_stats.overall_phase_residual,number,equals greater less greater_or_equal less_or_equal range exists,Overall phase residual in degrees
em_diffraction_stats.r_merge,number,equals greater less greater_or_equal less_or_equal range exists,Rmerge value (percent)
em_diffraction_stats.r_sym,number,equals greater less greater_or_equal less_or_equal range exists,Rsym value (percent)
em_embedding.details,string,contains_phrase contains_words exists,Staining procedure used in the specimen preparation.
em_embedding.material,string,contains_phrase contains_words exists,The embedding material.
em_entity_assembly.parent_id,integer,equals greater less greater_or_equal less_or_equal range exists,"The parent of this assembly.  This data item is an internal category pointer to _em_entity_assembly.id.  By convention, the full assembly (top of hierarchy) is assigned parent id 0 (zero)."
em_entity_assembly.source,string,in exact_match exists,"The type of source (e.g., natural source) for the component (sample or sample subcomponent) Allowed Values: MULTIPLE SOURCES, NATURAL, RECOMBINANT, SYNTHETIC"
em_experiment.aggregation_state,string,in exact_match exists,"The aggregation/assembly state of the imaged specimen. Allowed Values: 2D ARRAY, 3D ARRAY, CELL, FILAMENT, HELICAL ARRAY, PARTICLE, TISSUE"
em_experiment.reconstruction_method,string,in exact_match exists,"The reconstruction method used in the EM experiment. Allowed Values: CRYSTALLOGRAPHY, HELICAL, SINGLE PARTICLE, SUBTOMOGRAM AVERAGING, TOMOGRAPHY"
em_helical_entity.angular_rotation_per_subunit,number,equals greater less greater_or_equal less_or_equal range exists,The angular rotation per helical subunit in degrees. Negative values indicate left-handed helices; positive values indicate right handed helices.
em_helical_entity.axial_rise_per_subunit,number,equals greater less greater_or_equal less_or_equal range exists,The axial rise per subunit in the helical assembly.
em_helical_entity.axial_symmetry,string,contains_phrase contains_words exists,"Symmetry of the helical axis, either cyclic (Cn) or dihedral (Dn), where n>=1."
em_image_recording.average_exposure_time,number,equals greater less greater_or_equal less_or_equal range exists,The average exposure time for each image.
em_image_recording.avg_electron_dose_per_image,number,equals greater less greater_or_equal less_or_equal range exists,The electron dose received by the specimen per image (electrons per square angstrom).
em_image_recording.detector_mode,string,in exact_match exists,"The detector mode used during image recording. Allowed Values: COUNTING, INTEGRATING, OTHER, SUPER-RESOLUTION"
em_image_recording.film_or_detector_model,string,in exact_match contains_phrase contains_words exists,"The detector type used for recording images.  Usually film , CCD camera or direct electron detector."
em_image_recording.num_diffraction_images,integer,equals greater less greater_or_equal less_or_equal range exists,The number of diffraction images collected.
em_image_recording.num_grids_imaged,integer,equals greater less greater_or_equal less_or_equal range exists,Number of grids in the microscopy session
em_image_recording.num_real_images,integer,equals greater less greater_or_equal less_or_equal range exists,The number of micrograph images collected.
em_imaging.accelerating_voltage,integer,equals greater less greater_or_equal less_or_equal range exists,A value of accelerating voltage (in kV) used for imaging.
em_imaging.alignment_procedure,string,in exact_match exists,"The type of procedure used to align the microscope electron beam. Allowed Values: BASIC, COMA FREE, NONE, OTHER, ZEMLIN TABLEAU"
em_imaging.c2_aperture_diameter,number,equals greater less greater_or_equal less_or_equal range exists,"The open diameter of the c2 condenser lens,  in microns."
em_imaging.calibrated_defocus_max,number,equals greater less greater_or_equal less_or_equal range exists,The maximum calibrated defocus value of the objective lens (in nanometers) used  to obtain the recorded images. Negative values refer to overfocus.
em_imaging.calibrated_defocus_min,number,equals greater less greater_or_equal less_or_equal range exists,The minimum calibrated defocus value of the objective lens (in nanometers) used  to obtain the recorded images. Negative values refer to overfocus.
em_imaging.calibrated_magnification,integer,equals greater less greater_or_equal less_or_equal range exists,"The magnification value obtained for a known standard just  prior to, during or just after the imaging experiment."
em_imaging.cryogen,string,in exact_match exists,"Cryogen type used to maintain the specimen stage temperature during imaging  in the microscope. Allowed Values: HELIUM, NITROGEN"
em_imaging.date,date,equals greater less greater_or_equal less_or_equal range exists,Date (YYYY-MM-DD) of imaging experiment or the date at which  a series of experiments began.
em_imaging.detector_distance,number,equals greater less greater_or_equal less_or_equal range exists,The camera length (in millimeters). The camera length is the  product of the objective focal length and the combined magnification  of the intermediate and projector lenses when the microscope is  operated in the diffraction mode.
em_imaging.illumination_mode,string,in exact_match exists,"The mode of illumination. Allowed Values: FLOOD BEAM, OTHER, SPOT SCAN"
em_imaging.microscope_model,string,in exact_match contains_phrase contains_words exists,"The name of the model of microscope. Allowed Values: FEI MORGAGNI, FEI POLARA 300, FEI TALOS ARCTICA, FEI TECNAI 10, FEI TECNAI 12, FEI TECNAI 20, FEI TECNAI ARCTICA, FEI TECNAI F20, FEI TECNAI F30, FEI TECNAI SPHERA, FEI TECNAI SPIRIT, FEI TITAN, FEI TITAN KRIOS, FEI/PHILIPS CM10, FEI/PHILIPS CM12, FEI/PHILIPS CM120T, FEI/PHILIPS CM200FEG, FEI/PHILIPS CM200FEG/SOPHIE, FEI/PHILIPS CM200FEG/ST, FEI/PHILIPS CM200FEG/UT, FEI/PHILIPS CM200T, FEI/PHILIPS CM300FEG/HE, FEI/PHILIPS CM300FEG/ST, FEI/PHILIPS CM300FEG/T, FEI/PHILIPS EM400, FEI/PHILIPS EM420, HITACHI EF2000, HITACHI EF3000, HITACHI H-9500SD, HITACHI H3000 UHVEM, HITACHI H7600, HITACHI HF2000, HITACHI HF3000, JEOL 1000EES, JEOL 100B, JEOL 100CX, JEOL 1010, JEOL 1200, JEOL 1200EX, JEOL 1200EXII, JEOL 1230, JEOL 1400, JEOL 1400/HR + YPS FEG, JEOL 2000EX, JEOL 2000EXII, JEOL 2010, JEOL 2010F, JEOL 2010HC, JEOL 2010HT, JEOL 2010UHR, JEOL 2011, JEOL 2100, JEOL 2100F, JEOL 2200FS, JEOL 2200FSC, JEOL 3000SFF, JEOL 3100FEF, JEOL 3100FFC, JEOL 3200FS, JEOL 3200FSC, JEOL 4000, JEOL 4000EX, JEOL CRYO ARM 200, JEOL CRYO ARM 300, JEOL KYOTO-3000SFF, SIEMENS SULEIKA, TFS GLACIOS, TFS KRIOS, TFS TALOS, TFS TALOS F200C, TFS TALOS L120C, TFS TUNDRA, ZEISS LEO912, ZEISS LIBRA120PLUS"
em_imaging.mode,string,in exact_match exists,"The mode of imaging. Allowed Values: 4D-STEM, BRIGHT FIELD, DARK FIELD, DIFFRACTION, OTHER"
em_imaging.nominal_cs,number,equals greater less greater_or_equal less_or_equal range exists,"The spherical aberration coefficient (Cs) in millimeters,  of the objective lens."
em_imaging.nominal_defocus_max,number,equals greater less greater_or_equal less_or_equal range exists,The maximum defocus value of the objective lens (in nanometers) used  to obtain the recorded images. Negative values refer to overfocus.
em_imaging.nominal_defocus_min,number,equals greater less greater_or_equal less_or_equal range exists,The minimum defocus value of the objective lens (in nanometers) used  to obtain the recorded images. Negative values refer to overfocus.
em_imaging.nominal_magnification,integer,equals greater less greater_or_equal less_or_equal range exists,The magnification indicated by the microscope readout.
em_imaging.recording_temperature_maximum,number,equals greater less greater_or_equal less_or_equal range exists,The specimen temperature maximum (kelvin) for the duration  of imaging.
em_imaging.recording_temperature_minimum,number,equals greater less greater_or_equal less_or_equal range exists,The specimen temperature minimum (kelvin) for the duration  of imaging.
em_imaging.residual_tilt,number,equals greater less greater_or_equal less_or_equal range exists,Residual tilt of the electron beam (in miliradians)
em_imaging.specimen_holder_model,string,in exact_match exists,"The name of the model of specimen holder used during imaging. Allowed Values: FEI TITAN KRIOS AUTOGRID HOLDER, FISCHIONE 2550, FISCHIONE INSTRUMENTS DUAL AXIS TOMOGRAPHY HOLDER, GATAN 626 SINGLE TILT LIQUID NITROGEN CRYO TRANSFER HOLDER, GATAN 910 MULTI-SPECIMEN SINGLE TILT CRYO TRANSFER HOLDER, GATAN 914 HIGH TILT LIQUID NITROGEN CRYO TRANSFER TOMOGRAPHY HOLDER, GATAN 915 DOUBLE TILT LIQUID NITROGEN CRYO TRANSFER HOLDER, GATAN CHDT 3504 DOUBLE TILT HIGH RESOLUTION NITROGEN COOLING HOLDER, GATAN CT3500 SINGLE TILT LIQUID NITROGEN CRYO TRANSFER HOLDER, GATAN CT3500TR SINGLE TILT ROTATION LIQUID NITROGEN CRYO TRANSFER HOLDER, GATAN ELSA 698 SINGLE TILT LIQUID NITROGEN CRYO TRANSFER HOLDER, GATAN HC 3500 SINGLE TILT HEATING/NITROGEN COOLING HOLDER, GATAN HCHDT 3010 DOUBLE TILT HIGH RESOLUTION HELIUM COOLING HOLDER, GATAN HCHST 3008 SINGLE TILT HIGH RESOLUTION HELIUM COOLING HOLDER, GATAN HELIUM, GATAN LIQUID NITROGEN, GATAN UHRST 3500 SINGLE TILT ULTRA HIGH RESOLUTION NITROGEN COOLING HOLDER, GATAN ULTDT ULTRA LOW TEMPERATURE DOUBLE TILT HELIUM COOLING HOLDER, GATAN ULTST ULTRA LOW TEMPERATURE SINGLE TILT HELIUM COOLING HOLDER, HOME BUILD, JEOL, JEOL 3200FSC CRYOHOLDER, JEOL CRYOSPECPORTER, OTHER, PHILIPS ROTATION HOLDER, SIDE ENTRY, EUCENTRIC"
em_imaging.temperature,number,equals greater less greater_or_equal less_or_equal range exists,The mean specimen stage temperature (in kelvin) during imaging  in the microscope.
em_imaging.tilt_angle_max,number,equals greater less greater_or_equal less_or_equal range exists,The maximum angle at which the specimen was tilted to obtain  recorded images.
em_imaging.tilt_angle_min,number,equals greater less greater_or_equal less_or_equal range exists,The minimum angle at which the specimen was tilted to obtain  recorded images.
em_particle_selection.num_particles_selected,integer,equals greater less greater_or_equal less_or_equal range exists,The number of particles selected from the projection set of images.
em_single_particle_entity.point_symmetry,string,in exact_match exists,"Point symmetry symbol, either Cn, Dn, T, O, or I"
em_software.category,string,in exact_match exists,"The purpose of the software. Allowed Values: CLASSIFICATION, CRYSTALLOGRAPHY MERGING, CTF CORRECTION, DIFFRACTION INDEXING, EWALD SPHERE CORRECTION, FINAL EULER ASSIGNMENT, IMAGE ACQUISITION, INITIAL EULER ASSIGNMENT, LATTICE DISTORTION CORRECTION, LAYERLINE INDEXING, MASKING, MODEL FITTING, MODEL REFINEMENT, MOLECULAR REPLACEMENT, OTHER, PARTICLE SELECTION, RECONSTRUCTION, SERIES ALIGNMENT, SYMMETRY DETERMINATION, VOLUME SELECTION"
em_software.name,string,contains_phrase contains_words exists,"The name of the software package used, e.g., RELION. Depositors are strongly  encouraged to provide a value in this field."
em_specimen.concentration,number,equals greater less greater_or_equal less_or_equal range exists,"The concentration (in milligrams per milliliter, mg/ml)  of the complex in the sample."
em_specimen.shadowing_applied,string,in exact_match exists,"'YES' indicates that the specimen has been shadowed. Allowed Values: NO, YES"
em_specimen.staining_applied,string,in exact_match exists,"'YES' indicates that the specimen has been stained. Allowed Values: NO, YES"
em_specimen.vitrification_applied,string,in exact_match exists,"'YES' indicates that the specimen was vitrified by cryopreservation. Allowed Values: NO, YES"
em_staining.details,string,contains_phrase contains_words exists,Staining procedure used in the specimen preparation.
em_staining.material,string,contains_phrase contains_words exists,The staining material.
em_staining.type,string,in exact_match exists,"type of staining Allowed Values: NEGATIVE, NONE, POSITIVE"
em_vitrification.chamber_temperature,number,equals greater less greater_or_equal less_or_equal range exists,The temperature (in kelvin) of the sample just prior to vitrification.
em_vitrification.cryogen_name,string,in exact_match exists,"This is the name of the cryogen. Allowed Values: ETHANE, ETHANE-PROPANE, FREON 12, FREON 22, HELIUM, METHANE, NITROGEN, OTHER, PROPANE"
em_vitrification.humidity,number,equals greater less greater_or_equal less_or_equal range exists,Relative humidity (%) of air surrounding the specimen just prior to vitrification.
